Dataset,Model,Predict Function of Model,Metric Function,Score,Seed,Estimator Tag
CHD_49,BR_LogisticRegression,Predict Subset,Negative Predictive Value,0.760736,1,lr
CHD_49,BR_LogisticRegression,Predict Subset,Recall Score,0.670088,1,lr
CHD_49,BR_LogisticRegression,Predict Subset,Markedness,0.714325,1,lr
CHD_49,BR_LogisticRegression,Predict Subset,Fmeasure Score,0.639429,1,lr
CHD_49,BR_LogisticRegression,Predict Subset,Informedness,0.592687,1,lr
CHD_49,BR_LogisticRegression,Predict Subset,Macro F1,0.563909,1,lr
CHD_49,BR_LogisticRegression,Predict Subset,Micro F1,0.665895,1,lr
CHD_49,BR_LogisticRegression,Predict Precision,Hamming Accuracy,0.648929,1,lr
CHD_49,BR_LogisticRegression,Predict Precision,Subset Accuracy,0.030519,1,lr
CHD_49,BR_LogisticRegression,Predict Precision,Precision Score,0.737142,1,lr
CHD_49,BR_LogisticRegression,Predict Precision,Negative Predictive Value,0.631286,1,lr
CHD_49,BR_LogisticRegression,Predict Precision,Recall Score,0.292388,1,lr
CHD_49,BR_LogisticRegression,Predict Precision,Markedness,0.684215,1,lr
CHD_49,BR_LogisticRegression,Predict Precision,Fmeasure Score,0.407243,1,lr
CHD_49,BR_LogisticRegression,Predict Precision,Informedness,0.562748,1,lr
CHD_49,BR_LogisticRegression,Predict Precision,Macro F1,0.322178,1,lr
CHD_49,BR_LogisticRegression,Predict Precision,Micro F1,0.411591,1,lr
CHD_49,BR_LogisticRegression,Predict NPV,Hamming Accuracy,0.584243,1,lr
CHD_49,BR_LogisticRegression,Predict NPV,Subset Accuracy,0.0,1,lr
CHD_49,BR_LogisticRegression,Predict NPV,Precision Score,0.508616,1,lr
CHD_49,BR_LogisticRegression,Predict NPV,Negative Predictive Value,0.962369,1,lr
CHD_49,BR_LogisticRegression,Predict NPV,Recall Score,0.978737,1,lr
CHD_49,BR_LogisticRegression,Predict NPV,Markedness,0.735493,1,lr
CHD_49,BR_LogisticRegression,Predict NPV,Fmeasure Score,0.649256,1,lr
CHD_49,BR_LogisticRegression,Predict NPV,Informedness,0.542485,1,lr
CHD_49,BR_LogisticRegression,Predict NPV,Macro F1,0.584631,1,lr
CHD_49,BR_LogisticRegression,Predict NPV,Micro F1,0.670663,1,lr
CHD_49,BR_LogisticRegression,Predict Recall,Hamming Accuracy,0.430118,1,lr
CHD_49,BR_LogisticRegression,Predict Recall,Subset Accuracy,0.0,1,lr
CHD_49,BR_LogisticRegression,Predict Recall,Precision Score,0.430118,1,lr
CHD_49,BR_LogisticRegression,Predict Recall,Negative Predictive Value,0.0,1,lr
CHD_49,BR_LogisticRegression,Predict Recall,Recall Score,0.99461,1,lr
CHD_49,BR_LogisticRegression,Predict Recall,Markedness,0.215058,1,lr
CHD_49,BR_LogisticRegression,Predict Recall,Fmeasure Score,0.58356,1,lr
CHD_49,BR_LogisticRegression,Predict Recall,Informedness,0.5,1,lr
CHD_49,BR_LogisticRegression,Predict Recall,Macro F1,0.558809,1,lr
CHD_49,BR_LogisticRegression,Predict Recall,Micro F1,0.6013,1,lr
CHD_49,BR_LogisticRegression,Predict Markedness,Hamming Accuracy,0.687574,1,lr
